Tenant,ID
lingogroupvn.onmicrosoft.com,b165d61d-01b3-48bb-aab0-024ce4ba32d8
hangdangvn.onmicrosoft.com,bc398dec-41e2-48a2-80eb-e7dfb18b1241
eastcomvn.onmicrosoft.com,9185ac8c-3f58-4398-aa6c-b1fbd56a9faa
sfsceduvn.onmicrosoft.com,e08892e3-a319-4495-8685-0fc53293f9c6
primeconnecthc.onmicrosoft.com,d103daff-201d-4499-ada6-ea5a097430bc
ecoparkedu.onmicrosoft.com,7248c904-3880-4023-b7d7-9e9883349d30
lasvietnam.onmicrosoft.com,7b6b6ff6-abd4-4be6-b888-50d33cf2c2c9
thienphattien.onmicrosoft.com,6c77109d-2bc2-4a5f-a493-e26d8fa94f05
htdengineering.onmicrosoft.com,9be9f2b5-8936-4e08-bab6-1cce1472725f
fab9emscom.onmicrosoft.com,03dc63d1-08df-40e1-b503-cddcf074f188
greencargovn.onmicrosoft.com,6d4af2fb-d4f1-404d-b486-7e6505af1b73
smctechvn.onmicrosoft.com,cd52a771-f85b-4b90-b2c4-a4345fd578fd
myngheltdcom.onmicrosoft.com,bce3081c-1cbe-4955-9ba5-dc5c57e1f548
nhatphatgroup.onmicrosoft.com,a4ebd16f-4fd3-45b9-a82e-7ac8317e95c3
vuontamquoctecom.onmicrosoft.com,2fd91b15-e747-46e7-b355-4be9c0143ccc
trustdivn.onmicrosoft.com,36efc84b-31ec-45a5-9069-93d0576dcb02
thscience.onmicrosoft.com,f5f05d9b-7c35-40ca-a68e-0683b74546eb
vhotelnhatrangcom.onmicrosoft.com,4fc22ebb-65d3-477a-ad5e-a008d53fdfd3
adnvncom.onmicrosoft.com,b8783809-915e-445c-b8de-fb7f65909940
mikapackvnvn.onmicrosoft.com,abda84c9-f526-44e5-80df-fb329f47db26
8freightvn.onmicrosoft.com,9ce07437-0b97-4340-acbc-33cab7b96720
fhdeveloping.onmicrosoft.com,8021f960-53dd-4ac6-b807-1a6340403c8b
codezxvn.onmicrosoft.com,18379259-4307-4f2f-bf29-d3ca927f324a
nhimaicom.onmicrosoft.com,67663aca-65a8-4317-a846-825f496df115
hocttthietke2024.onmicrosoft.com,b758c7ca-c6b4-486e-aa46-ec129e558971
taxihoamai.onmicrosoft.com,1835b1b5-d89e-4f47-9da6-161f350d3e03
nguyenvantham.onmicrosoft.com,d31431a2-ce00-48fd-939d-09f5e1eb4b5e
gentechjsc.onmicrosoft.com,0f33be58-db75-4bc0-a0e4-10e056297cdd
viettrungcom.onmicrosoft.com,c4204d72-2589-473b-9150-d34812d5cbde
jenhanoi.onmicrosoft.com,7d69cf7a-e14e-4ebd-bdd8-4618b46ef374
vtchauhavn.onmicrosoft.com,e252f86b-f5ec-48eb-8c21-c03171022941
hiepphong.onmicrosoft.com,1a9f3b84-3fc8-4354-854d-4fb612bc662a
ivesvn.onmicrosoft.com,cd7b28eb-6fb6-4fad-8970-51bf4a44b8e1
capnuocvungtauvn.onmicrosoft.com,049fd0f3-350b-41b4-aadf-987ad8b06b77
megsnowcomvn.onmicrosoft.com,36f8437c-68a2-432c-9fab-9b8c85b8177a
themoneymancomvn.onmicrosoft.com,2f744c5d-d77c-463d-98a2-4caf523222f8
phuonghoangthien.onmicrosoft.com,19055c11-0216-4620-9fcf-f894f596a781
departvn.onmicrosoft.com,b500c8f2-8815-4318-b4bb-f381e5057f5d
kythuatlasvn.onmicrosoft.com,15d89148-60a0-47e3-8ae0-5f232be4fbc4
thienkybinhphuoccom.onmicrosoft.com,6ad248c9-eed5-4312-ad06-27caef20b5f5
tokimglobal.onmicrosoft.com,742d371b-ffc8-469c-ac86-f65b663ce649
ostmediavncom.onmicrosoft.com,35457914-852f-4223-b306-a03ed2a34eb7
emerglowvn.onmicrosoft.com,ed5fee53-976f-410e-8c52-f2c848e3dc51
isicomvn.onmicrosoft.com,6f3d28d3-e73f-418d-9b91-ba215e51a684
giakhanhlogvn.onmicrosoft.com,6148387c-2ad8-4571-a505-a54eaadc88c0
tomotech.onmicrosoft.com,25e86d63-faaa-4093-8066-9c01b69655b5
giaanbinhcomvn.onmicrosoft.com,b0c8239c-9298-41f2-b9a5-8b37275e7757
peakflowvn.onmicrosoft.com,9cc6132e-f3e5-49b9-8f7c-266b716494a4
gneicomvn.onmicrosoft.com,07e96ad4-5ad1-413d-82e8-ecfdbbb925e8
maikhanhinvestcom.onmicrosoft.com,2140da0a-0885-439a-b575-18764b8909eb
towadenkivietnam.onmicrosoft.com,f0907f5f-fd44-4bf5-9736-81e4a3fe412f
amindustrycomvn.onmicrosoft.com,f470476c-d3f7-484e-a2fb-1b5b2b8a0670
haquang.onmicrosoft.com,80a76010-3279-43cd-b4a3-a5aee93d4984
kimsontech.onmicrosoft.com,c76b6857-50e6-4bda-b10b-916126e4efba
ginateamcom.onmicrosoft.com,eb2572d1-574c-4a1b-8fbd-b62924ef852d
alasticeduvn.onmicrosoft.com,38490974-badf-4a20-92d1-db55993899df
micehcc.onmicrosoft.com,d5572dd1-6c27-4c26-bdfc-c951dfe84990
iitsgroup.onmicrosoft.com,53cdc85a-b533-4565-b871-a3697ef24407
npptechnologiescom.onmicrosoft.com,a5812896-2a18-4a7e-99a9-456e1cbbfb8f
ktglobalcomvn.onmicrosoft.com,b047bb85-7490-49ac-9bff-b14f7b5c3ef6
iecgroup123.onmicrosoft.com,5677f5fa-a32b-41d3-b59c-c6f69f86b82f
vnworldtravel.onmicrosoft.com,0bc9a284-86b1-49e7-9d2c-f4c4a5ca1c94
thanhlongtlgcom.onmicrosoft.com,21c659e8-f734-48f7-874b-3f6df24a77ee
ggviet.onmicrosoft.com,2a34c0d1-ca28-4e22-b166-a7c57355757a
baoholaodongtdtechcom.onmicrosoft.com,59123d9a-f28b-4916-bbc6-44c3babcdd1e
tsmeurope.onmicrosoft.com,046a153b-63c2-4a07-b41f-3d749e5a3853
pimakivietnam.onmicrosoft.com,93995972-1c3c-47ea-b798-0377af1a7593
hulexlaw.onmicrosoft.com,38072008-e9c0-405f-9312-7bc3a7fe66c4
wehubasia.onmicrosoft.com,fcf7a8bf-ac04-4e4d-8e09-e4de4d201659
cuulongtech.onmicrosoft.com,5beb22b5-6079-4cb5-b550-e37a84a0c657
ducganghuongbinhphat.onmicrosoft.com,1f7feba3-bbab-4e29-983b-7a8b12bb1d91
thpttonducthanggialai.onmicrosoft.com,85d463f7-cc1a-4037-80f1-1c7ae5d2a573
rockwoolkhaihoancom.onmicrosoft.com,3c0ee36b-6cce-4d57-ab4f-075d5f00973c
tanhaiplasticcom.onmicrosoft.com,c30837f6-b4bd-4a76-85b5-24d693b8a433
anthanhcommoditycomvn.onmicrosoft.com,496c4bda-ea2f-4516-9685-ad324faaea70
kaleglobalcomvn.onmicrosoft.com,9057ca1e-6b0b-429f-b4c6-4be0ac41efe1
danhnganc3click.onmicrosoft.com,6e9aaa0a-a5f5-40fb-b0af-72c3438523e8
qpxanh.onmicrosoft.com,fb6ad7cf-eca5-49ce-b101-512f39e53685
engico920.onmicrosoft.com,a8cabca1-2685-45bc-9cad-fb7f011a525d
educationsuned.onmicrosoft.com,8b923acc-3125-447f-ac3d-1678a3e1ee41
coreqsvn.onmicrosoft.com,6a1e8c49-1b84-4db9-a2e9-565396bc67ea
qizodesigncom.onmicrosoft.com,78b0132b-542a-4550-82e9-56fc2b9e8513
stratumint.onmicrosoft.com,ab00ed85-4591-44f8-9ef5-d023874ba689
masterpiecevn.onmicrosoft.com,7c1090b4-94d5-4fb4-87ca-b717f4ce1b3d
wisefinancevn.onmicrosoft.com,d2aae495-e629-4667-8297-59947cb4192f
legiaphatgroupcom.onmicrosoft.com,f87cd4b0-67e0-4f56-ab39-b565105ccbc3
joblinkscorporation.onmicrosoft.com,280105f1-d9ba-4eb1-9c66-214db17539e9
sgeekvn.onmicrosoft.com,c9384016-d062-4f78-966f-f3b7d3cbdcb8
a2zevent.onmicrosoft.com,2fc79fe9-bb84-46fc-9977-e20833acbf74
hoadaumiennamcomvn.onmicrosoft.com,401c1c08-9ba9-4fc6-93ad-afe127efb923
mttcorpvn.onmicrosoft.com,14e95560-60de-4c34-a254-2d9b60c5f3ee
saigontechvn.onmicrosoft.com,ad057fdb-232e-4300-9ca6-dfab0efa8381
openinfosecvn.onmicrosoft.com,3eae7e43-8c65-4217-9238-8c44b052667c
ngukimtrinang.onmicrosoft.com,931111c0-a52e-46b5-b000-07a9a644ac69
1ktek.onmicrosoft.com,763f8bbd-d4ba-4488-8495-03ef8c488f82
hangnl.onmicrosoft.com,31d19197-af6f-43fc-8c93-2a2bb46c8abd
msvnvn.onmicrosoft.com,57ff1384-7ab8-46c6-8d53-0ba52ca74ce4
sysmastervn.onmicrosoft.com,57312e29-6ceb-4c39-a2b1-f797ea1215c6
ascentbulk.onmicrosoft.com,cbbe7814-94f5-4bf0-9f20-d798dc17c57c
logbacgiang.onmicrosoft.com,5008e215-3d7a-4af4-921a-98887fb0578f
thebepvn.onmicrosoft.com,a9518db4-3cda-42b8-810e-4cf3a9837322
vanhoaasia.onmicrosoft.com,fe085d4f-523a-454f-9121-65ab5f248b8d
vipacovn.onmicrosoft.com,762029c8-f91d-4629-8b33-dac5f3efc3ce
hhpharmcom.onmicrosoft.com,5fc75628-c32a-4779-a6aa-52a7b9ed61fd
wcarvn.onmicrosoft.com,0282081c-c103-4d9f-bec4-a53b012c7b5e
vinasolarnetvn.onmicrosoft.com,155632f4-09ce-4bf7-aaea-302f6d8311c4
prudentialbinhtancom.onmicrosoft.com,873fb439-a54a-4d32-af33-ee57d3557bab
joyhomescomvn.onmicrosoft.com,807c48ec-f493-4088-86e6-5a2f6fed0eb0
integratexvn.onmicrosoft.com,c11ec353-6f64-4366-8621-c731c15362a7
angranolacom.onmicrosoft.com,90ba5ebf-b95c-4c5a-863a-b5eecac4cf75
obreadvn.onmicrosoft.com,a04b8085-6fae-4e28-878d-6aa7c3970f2a
charmjourneys.onmicrosoft.com,b5a17162-0a7e-4251-8d0d-325ac75acdac
hoanmycloud.onmicrosoft.com,b763e4b0-359c-478d-8f63-6c7d01c8594b
tastemakervn.onmicrosoft.com,bf179ab4-548f-49bd-adcc-48ccc6111dd1
itservicedeskcomvn.onmicrosoft.com,7c9e7dc6-2947-445a-846e-ce510317a4f0
ruiding.onmicrosoft.com,4705982b-3905-40e8-a9d5-c9f294991fa4
xrasiacom.onmicrosoft.com,6d4a35c2-220b-4eb3-aafa-327df1739c79
anthuanphatbp.onmicrosoft.com,257d48f1-35f8-436c-bf4b-8d4227ba7f89
anviethungjscvn.onmicrosoft.com,3cd4ecc0-559e-4764-beaf-10e588364f75
sunautomationcomvn.onmicrosoft.com,71789d2f-4fed-4bb2-a161-5dd14b91334b
mktekvn.onmicrosoft.com,28c8aadd-4f6e-482a-a348-bc32c183afd8
tombowtma.onmicrosoft.com,425d8041-cc91-4e41-9120-6c9b1048e32c
teamsynergycomvn.onmicrosoft.com,e8f1596d-feab-40d4-bcfe-f5cedea2776f
hmgsingsg.onmicrosoft.com,b8ad6552-80d0-414b-8915-389e92454f10
vietdataai.onmicrosoft.com,223a2008-c795-455a-84e1-1c2704b4ee39
bestmixcomvn.onmicrosoft.com,6ddc4c13-39f4-4fff-bec9-828f84341b7b
unitedcfocomvn.onmicrosoft.com,40fdfc63-c774-4797-b6af-1292c44d79f4
ideatekpro.onmicrosoft.com,74ef5668-f1de-48ae-9eb9-09ba28f7c7ae
globexvn.onmicrosoft.com,d011be4c-1f40-4ed5-a6ac-259f16f31c86
tcsvncom.onmicrosoft.com,c1935de4-1878-4adb-b7ac-126d656d1d7e
alomediavn.onmicrosoft.com,1db6c78f-9679-457d-9a04-84b96d691317
canthofordvn.onmicrosoft.com,80494808-499e-4577-931c-65b83d2cafa4
dustinygroup.onmicrosoft.com,34c4ba02-6b64-4bc8-a21f-839d167abf45
dtsvietnam.onmicrosoft.com,d57305fe-86ed-4151-bb60-6e2ab731ad1d
vietantech.onmicrosoft.com,49e97777-31cb-4b2b-afad-0ed89c5aba9c
digitaldaesungvietnam.onmicrosoft.com,12b83a9e-6cda-4ce5-a59e-cd7b439deb19
vuottroicungtechcombank.onmicrosoft.com,3d651ace-8eec-48d3-880d-be327f07a14b
blazeblindsltdcom.onmicrosoft.com,8b2f56c0-2037-4a7c-933f-878bf0625ade
inspiringasiatravelcom.onmicrosoft.com,a2c6caff-96f4-4824-8412-555c2b7a9d1a
canadaprvn.onmicrosoft.com,b7ed040a-12ad-4652-be57-a64674913980
whycorpvn.onmicrosoft.com,41f65bf4-cf15-41c1-82b7-b685bf714c06
derpioniers.onmicrosoft.com,1ed3ee24-48cf-4c7e-84ec-42dfbd0aecad
hanmacfoodcomvn.onmicrosoft.com,e1aa98b8-d00f-4196-8095-ea0936e1a46a
thaiduongvn.onmicrosoft.com,510f0ff7-9571-4fee-b865-e3f62fc169b8
khuenamcom.onmicrosoft.com,8806afc3-d740-4530-8302-72ebcf087a6f
pccvn.onmicrosoft.com,ba93e4d0-ec64-4822-9b51-eaa7cee0731c
hoanggiaone.onmicrosoft.com,4ff95ea4-fed1-47a0-889e-33f71f9dab81
biancatradinggroupcom.onmicrosoft.com,3d19270c-0700-466c-a67c-04f01a5daca2
beholightingcom.onmicrosoft.com,18703e15-ad86-46d2-b73e-3d6176e83b9c
vinanetco.onmicrosoft.com,87621807-a348-4dbb-a583-f1ad556543e4
daukhihaiphatvn.onmicrosoft.com,936483ca-ec23-42a7-8ed0-2de2f1ffc699
gosolarsvn.onmicrosoft.com,eaf0da77-23c0-486c-9833-088128bcd3ff
lishengvn.onmicrosoft.com,208eaddf-ae64-4150-8714-58702a844544
evobulk.onmicrosoft.com,aa904f1c-5472-4a88-87dc-8d7f0a9440b0
anhemgroupvn.onmicrosoft.com,c19dd76a-2ede-4c23-9630-bdfe6802f08d
tropicovn.onmicrosoft.com,9e54d052-9373-4dfd-8407-8613af5123fb
kawauravncom.onmicrosoft.com,92daacd8-2ba6-47e1-b73d-2226319a473c
